title,original_price,discount_price,rating,review_count,Battery_Capacity,Battery_Life,Battery_Voltage,Battery_Type,Charging_Time,Mileage_Per_Charge,Motor,Maximum_Speed,Weight
Neelam E VETON 26T Electric Cycle for Men & Women | 250W Motor | Inbuilt 7.8Ah Battery | Disc Brakes | Suspension | Confetti Black,"33,599","26,999.",,,7.8ah,1 year,500 v,li ion,12 hrs,25-30 km,250w,15 km/h,30 kilograms
Neelam Fat Bike 4.0 Unisex Electric Bicycle 26T | 36V 350W Battery | 10.4Ah | Double Crown Suspension Fork | Disk Brake | LED Display | PU Foam Saddle |Khaki,"45,999","37,999.",5.0,2,10.4ah,1 year,36v,li-ion,12 hrs,25-30 km,350w,,27 kilograms
"Vigor ZX Electric Cycle with Dual Disc Brakes, 350w Hub Motor, 8.5Ah Li-Ion Battery, Throttle with Battery Indicator, 95% Pre-Assembled with Charger, Black Color,Fat Tyre ,(Black,Yellow,Pink)","59,999","39,769.",4.2,3,8.5ah,1 year,500 v,li-ion,12 hrs,25 km,350w,25 kmph,110 kg
"UBOARD Space Bike Electric Foldable Mini E-Bike|250W Motor, 36V 8Ah Battery, Up to 30 km Range, 25 km/h|Lightweight Frame, Adjustable Seat, Dual Disc Brakes, LED Lights & LCD Display – Blue","69,999","40,269.",4.4,20,8ah,1 year,36v,li-ion,5hr,30 km,250w,25 km/h,150 kg
"SVITCH XE+ Electric Bicycle for Adults - Foldable E-Bike with 250W Motor, 48V 14.5Ah Battery (80-120 km Range), 8-Speed Shimano Gears, Dual Shock, Fat Tyres, Disc Brakes, LCD Display, LED Light (Grey)",,"1,59,999.",5.0,1,14.5ah,1 year,48v,lithium-ion,12 hrs,80-120 km,250w,25 km/h,31.5 kilograms
CYPRO 26 DXE ECO Pulse E - Bicycle,"29,999","25,999.",,,7.8ah,1 year,500 v,li ion,12 hrs,50~60kms,00 w,25 km/h,20 kilograms
Motovolt HUM 24 Electric Cycle - Standard | 75 Km Range | 250W 36V BLDC Motor | Removable Battery - 12Ah Lithium-ion | 120 Kg Load Capacity | Dual Suspension | 24” Tyres | Carbon Grey,,"37,999.",3.6,3,12ah,1 year,36v,lithium-ion,5 hours,75 km,250w,15 km/h,120 kg
Neelam E PRIZM Unisex Electric Bicycle T-26 High Tensile Steel Frame|Disk Brake|INBUILT Battery 36V-250W |7.8AH|Suspension Fork|Battery Indication Display |Saddle with Memory Foam Color-Light Pink,"29,999","26,999.",3.5,11,7.8ah,1 year,36v,lithium-ion,12 hrs,25-30 km,250w,15 km/h,110 kg
Neelam E VETON 26T Electric Cycle for Men & Women | 250W Motor | Inbuilt 7.8Ah Battery | Disc Brakes | Suspension | Confetti Black,"33,599","26,999.",,,7.8ah,1 year,500 v,li ion,12 hrs,25-30 km,250w,15 km/h,30 kilograms
Neelam Shockbuzz NI 1.0 Electric Bicycle 26T with Rear Carrier | 30KM Range | 36V 250W Motor | 7.8Ah Removable Battery | Dual Disc Brakes | Front Suspension | Unisex E-Cycle | Yellow,"29,999","27,999.",5.0,2,7.8ah,1 year,36v,li-ion,12 hrs,30km,250w,,26 kilograms
CYPRO 26 DXE ECO Pulse E - Bicycle,"29,999","25,999.",,,7.8ah,1 year,500 v,li ion,12 hrs,50~60kms,00 w,25 km/h,20 kilograms
Stryder E-Vibe 27T Electric Cycle for Men & Women (5.2–6 Ft) | 250W BLDC Motor | 36V 8.7Ah Li-ion Battery | Dual Disc Brakes | Front Suspension | USB Charging | Password Display | E-Bike (Grey),"35,495","30,994.",3.2,11,8.7ah,1 year,36v,li-ion,4 hour,35km,250w,25 km/h,120 kg
Neelam E PRIZM Unisex Electric Bicycle T-26 High Tensile Steel Frame|Disk Brake|INBUILT Battery 36V-250W |7.8AH|Suspension Fork|Battery Indication Display |Saddle with Memory Foam Color-Light Pink,"29,999","26,999.",3.5,11,7.8ah,1 year,36v,lithium-ion,12 hrs,25-30 km,250w,15 km/h,110 kg
"EMotorad X1 Electric Cycle for Men & Women | 36V 7.65Ah Battery Cycle | Up to 35KM Range, 25 km/h Speed | 27.5” Electric Bicycle with Front Suspension, Front Light & Mudguard (Sky Blue)","32,999","27,999.",,,7.65ah,5 year,36v,lithium-ion,,35km,00 w,25 km/h,28 kilograms
"TATTVALABS SJ-X1 Unisex Electric Cycle|26""X2.1"" Tires with Front Suspension|Dual Disc & Cut-Off Brakes|9Ah Li-Ion Removable Battery|Fast Charging|Upto 50 Km Range on PAS|Cruise Control|Made in India","40,000","22,400.",3.4,16,9ah,1 year,500 v,li-ion,12 hrs,50 km,00 w,,150 kilograms
"V1 Electric Cycle | Battery Cycle for Adults & Students | 36V Motor, 40 Km Range, Rechargeable E Bike with Disc Brakes (Storm SEA)",,"25,999.",,,7.65ah,1 year,36v,lithium-ion,2 hours,40 km,250w,25 km/h,22 kg
Aoki Cadence GL Electric Urban Bicycle | Carbon Belt Drive | 250W Motor | Ultralight <20kg | Stem Display | 700C Tyres | Removable Battery | Arctic White,"69,999","58,999.",5.0,1,10.4ah,1 year,500 v,lithium-ion,,70 km,250w,25kmph,20kg
Neelam N.E 2.9 Electric Cycle for Men & Women | 29T Strong Steel Frame | 36V 250W Motor | 7.8Ah Removable Battery | Dual Disc Brakes | LED Display | Royal Blue,"41,999","29,999.",,,7.8ah,1 year,36v,li-ion,12 hrs,25-30 km,250w,25 km/h,3kg
"Vigor ZX Electric Cycle with Dual Disc Brakes, 350w Hub Motor, 8.5Ah Li-Ion Battery, Throttle with Battery Indicator, 95% Pre-Assembled with Charger, Black Color,Fat Tyre ,(Black,Yellow,Pink)","59,999","39,769.",4.2,3,8.5ah,1 year,500 v,li-ion,12 hrs,25 km,350w,25 kmph,110 kg
"Aoki Flex Go Foldable Electric Bicycle | 48V 250W Hub Motor | 70km Range | 12.8Ah Removable Samsung Battery | 20"" Fat Tyres | 25kmph Speed | Black","70,999","59,999.",5.0,1,12.8ah,10 year,48v,li-ion,24hrs,70km,250w,25kmph,20kg
Sunspeed Skyride BMV X6 Cycle 6 Spoke Blue & White Foldable Bicycle with 21 Speed Gear with Dual Disc Brake Carbon Frame Suspension for Men 26 inch Wheel Size,"29,999","10,991.",3.3,244,,1 year,500 v,,12 hrs,,00 w,,10.5 kilograms
Neelam E PRIZM Unisex Electric Bicycle T-26 High Tensile Steel Frame| Disk Brake|INBUILT Battery 36V-250W |7.8AH|Suspension Fork|Battery Indication Display |Saddle with Memory Foam Color-Ice Blue,"29,499","26,999.",3.5,11,7.8ah,1 year,36v,li-ion,12 hrs,25-30 km,250w,15 km/h,25 kilograms
Motovolt KIVO Easy Electric Cycle - Standard | 105 Km Range | 250W 36V BLDC Motor | Removable Battery - 16Ah Lithium-ion| 110 Kg Load Capacity | Front Suspension | 26” Tyres | Aqua Blue,,"37,999.",4.0,10,16ah,1 year,36v,lithium-ion,,105 km,250w,25 km/h,110 kg
Neelam Shockbuzz NB 1.0 Electric Bicycle 26T | 36V 250W Motor | 7.8Ah Removable Battery | Dual Disc Brakes | Front Suspension | Memory Foam Saddle | Unisex E-Cycle | Blue,"35,499","27,999.",5.0,4,7.8ah,1 year,36v,li-ion,12 hrs,25-30 km,250w,,26 kilograms
"Vigor ZX Electric Cycle with Dual Disc Brakes, 350w Hub Motor, 8.5Ah Li-Ion Battery, Throttle with Battery Indicator, 95% Pre-Assembled with Charger, Black Color,Fat Tyre ,(Black,Yellow,Pink)","59,999","39,769.",4.2,3,8.5ah,1 year,500 v,li-ion,12 hrs,25 km,350w,25 kmph,110 kg
HORNBACK UniByk Electric Cycle 27.5 Inch | Easy Access Frame E-Bike | 60 Km Range | Pedal Assist & Throttle (Moonlight White),,"26,999.",,,7.8ah,2 year,500 v,li ion,,60 km,250w,15 km/h,25 kg
"Cradiac Squad 21 Speed High Performance Steel Mountain Cycles for Men with Front Suspension & Dual Disc Brake 21 Geared MTB Bike 29 T | Ideal for 15+ Years, Unisex, Frame Size : 18.5 inch","26,999","12,677.",4.0,519,,1 year,500 v,,12 hrs,,00 w,,17.6 kilograms
Motovolt KIVO Easy Electric Cycle - Standard | 105 Km Range | 250W 36V BLDC Motor | Removable Battery - 16Ah Lithium-ion| 110 Kg Load Capacity | Front Suspension | 26” Tyres | Aqua Blue,,"37,999.",4.0,10,16ah,1 year,36v,lithium-ion,,105 km,250w,25 km/h,110 kg
"HORNBACK X1 Pro Foldable Electric Bicycle 27.5 Inch | 250W BLDC Motor, 75Km Range, 13Ah Removable Battery | Shimano Altus 21-Speed | Throttle + Pedal Assist + Cruise Control | Cycle for Men & Women",,"31,999.",4.2,27,13ah,2 year,500 v,li ion,5 hrs,75km,250w,,110kg
Acer Horizon Electric Cycle for Adults with 36V 250W Speevo Motor & 9Ah Removable Battery | Durable Aluminium Alloy Frame with Dual DISC Brake & Dual LED Lights,"70,000","64,000.",3.0,2,9ah,1 year,36v,li-ion,12 hrs,30 km,250w,,23.5 kilograms
Neelam E BULLFIRE Unisex Electric BicycleT27.5 High Tensile Steel Frame|Disk Brake|Outer Battery36V-250W|10.4AH|Suspension Fork|Battery Indication Display|Saddle with Memory Foam Color Lemon Green,"35,999","29,499.",3.1,6,10.4ah,1 year,36v,li-ion,12 hrs,35-40 km,250w,15 km/h,26 kilograms
Neelam Bull FIRE 27.5T Unisex Electric Bike | 36V 250W Inbuilt Battery | 7.8Ah | Disk Brake | Suspension Fork | Inbuilt Carrier | 30KM Range | Metallic Grey,"35,599","27,499.",5.0,1,7.8ah,1 year,36v,li ion,12 hrs,30km,250w,,6kg
Stryder Zeeta Plus 27.5T Electric Bicycle/Cycle | 36V Li-Ion Battery | 250W BLDC Motor | Single Speed Rigid Suspension | Adjustable Seat Height | Ideal for 12+ Years (Green) 6015000050,"32,995","28,199.",,,10.4ah,1 year,36v,li-ion,3 hours,30 km,250w,,100 kg
Neelam Bull FIRE Unisex Electric Bicycle 26T | Inbuilt Carrier | 36V 250W Battery | 7.8Ah | Suspension Fork | Disk Brake | 35KM Range |Mettalic Grey,"35,599","27,999.",,,7.8ah,1 year,36v,li-ion,12 hrs,35km,250w,15 km/h,27 kilograms
"Stryder DYNAMIQ 27.5"" Electric Cycle for Men and Women with 8.7Ah Removable Li-Ion NMC Battery, Intelligent Digital SOC Throttle, Hi-Tensile Steel Frame, up to 35 KM PAS Range, Unisex Electric Bicycle","35,295","31,371.",,,8.7ah,1 year,500 v,li-ion,,35 km,00 w,,30 kilograms
Neelam SHOCKBUZZ Static | 26T Electric Cycle for Men & Women | 250W Motor | Inbuilt 7.8Ah Battery | Disc Brakes | Suspension | Mettalic Copper,"31,241","26,999.",,,7.8ah,2 year,500 v,,12 hrs,25-30 km,250w,25 km/h,30 kilograms
"Ampere Magnus Neo Electric Scooter by Greaves | 118 km IDC Range | Safe LFP Battery with 5-Year / 75,000 km Warranty | Ex-Showroom (Galatic Grey, Magnus Neo)","94,999","88,499.",4.3,221,30ah,5 year,500 v,lithium ion,12 hrs,118 km,2 w,65 km/h,108 kg
Velzi Electric Cycle for Adults | Fat Tyre E-Bike | Dual Suspension | 25 km/h Top Speed | Comfortable Upright Ride | Stylish Urban Commuter Electric Bicycle (Onyx Black),"74,999","54,999.",5.0,1,15.6ah,1 year,500 v,li-ion,12 hrs,25 km,00 w,25 km/h,120 kg
"Ninety ONE Viper 27.5T 21 Speed Hybrid Bike (Ideal for: 12+ Years, Brake: Disc)","30,000","21,650.",4.2,70,,1 year,500 v,lithium-ion,12 hrs,,00 w,,22.3 kilograms
Heileo M100 | Mountain Electric Cycle | India's Lightest eBikes | 80 KM Range | Removable Battery | 7-Speed Shimano Gears | 16 x 27.5 (Medium),,"50,990.",3.4,10,20ah,1 year,500 v,li-ion,12 hrs,80 km,7w,,1kg
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow & Black)","33,760","32,000.",,,10.4ah,1 year,500 v,li-ion,12 hrs,40km,00 w,,80 kilograms
Ultrabikes Dazzle Foldable E Bicycle (Black),,"56,999.",,,13ah,,500 v,li-ion,,105 km,350w,,120 kg
SVITCH Lite XE Electric Bicycle for Men and Women | Lightweight Aluminum Frame | Powerful Motor & Long Battery Life | Foldable & Portable | Ideal for City & Off-Road (Grey),,"85,399.",1.0,1,10.4ah,1 year,500 v,li-ion,12 hrs,80 km,250w,25 km/h,31.5 kilograms
"EMotorad Xcape G1 Electric Cargo Cycle, 48V 250W Motor, 100km Range, Dual Batteries, Heavy-Duty Frame, Black (Orange)",,"79,999.",5.0,1,10.2ah,2 year,48v,li-ion,6 hours,100km,250w,,150 kg
HORNBACK X1Pro V2 Electric Cycle 27.5 Inch | 75 km Pedal Assist | 13Ah Removable Battery | Shimano Gears | Front Lockout Suspension | LCD Display | Delivered 98% Assembled | Men & Women | Ocean Blue,,"40,269.",5.0,1,13ah,2 year,500 v,li ion,,75 km,250w,25 km/h,19 kilograms
Ninety ONE E-Drago 27.5T Single Speed Electric Cycle with 7.65Ah Removable Battery,"42,000","39,999.",5.0,2,7.65ah,1 year,500 v,li-ion,12 hrs,55 km,00 w,,24 kilograms
VigorEbike X FAT Tyre 20 x 400 Inches Lithium Ion E-Moto Bike 60 KM Range 48V Battery,"74,999","48,499.",,,15.5ah,1 year,48v,lithium ion,12 hrs,60 km,00 w,25 kmph,110 kg
SVITCH Velono Electric Bicycle for Man and Woman | Battery: 7.8 AH LI-ION | Motor: 36V 250W | Headlight: 280LM | Head Light | INBUILT Horn (Neon Green),,"29,999.",5.0,2,7.8 ah,1 year,36v,li-ion,12 hrs,30 km,250w,,25 kilograms
"Acer Momentum Electric Cycle | 36V 250W HYM Bafang Hub Motor, 9Ah in-Frame Removable Battery | Shimano 7 Speed Gears, Dual Disc Brakes, Hydraulic Suspension | King Meter LCD, Password Protected","70,000","65,000.",,,9ah,1 year,36v,,12 hrs,50 km,250w,,22 kilograms
Electric Cycle (Black),,"46,999.",5.0,1,15 ah,2 year,500 v,li-ion,8hr,,350w,,40 kilograms
"Series E Electric Cycle 26"" Fat Tyres with Front Suspension Dual Disc Brakes 21-Speed Gears Fast Charging Up to 40 Km Range on PAS Make in India Certified (Grey)","55,999","44,999.",,,5.8ah,1 year,500 v,lithium-ion,12 hrs,40 km,00 w,25 kmph,
Heileo H200 | Hybrid Electric Cycle | India's Lightest eBikes | 60 KM Range | Removable Battery | 8-Speed Shimano Cassette Gears | 19 x 700c (Medium),,"62,990.",4.4,6,7.8ah,1 year,500 v,li-ion,12 hrs,60 km,0w,25 km/h,120 kg
"Amardeep cycles Foldable Sports Bicycle Mountain High Carbon Steel Frame Adults Bike with Double Disc Brake 21 Speed Gear (Black), Dual","34,999","11,999.",3.3,47,,1 year,500 v,,12 hrs,,00 w,,25 kg
"Ride The Change Alpha A Lite Unisex Electric Cycle, 90% Assembled (26 Inches Frame, Single Speed, 5.2Ah Li-ion Battery, Lightweight Design, 250W Motor, Matte Black)",,"25,410.",,,5.2ah,1 year,500 v,li-ion,,,250w,,25 kilograms
SVITCH ELEGON Electric Bicycle for Man and Woman | Battery: 10.4 AH LI-ION | Motor: 36V 250W | Headlight: 280LM | INBUILT Horn | Front Fork Suspension | Range: 35-40 КМ ON Throttle (Silver),,"30,999.",4.2,4,10.4 ah,1 year,36v,li-ion,12 hrs,50 km,250w,,26 kilograms
"Motovolt Kivo 24 Standard Electric Cycle | 36V 250W BLDC Motor | Up to 75 KM Range | 12 Ah Removable Li-ion Battery (IP65, BIS Certified) | 110 kg Payload | Front Suspension | 24” Tyres | Carbon Grey",,"31,999.",,,12 ah,1 year,36v,li-ion,,75 km,250w,15 km/h,110 kg
"MATELCO Ultra EA24 Electric Cycle TYRE 24x300 with 7.65Ah Removable Battery, Front Suspension, 250W BLDC Motor, Quick Acceleration, 90% Assembled (Black ICE)",,"35,998.",,,7.65ah,1 year,500 v,lithium-ion,4 hours,35kms,300 w,,120 kg
VigorEbike X FAT Tyre 20 x 400 Inches Lithium Ion E-Moto Bike 60 KM Range 48V Battery,"74,999","48,499.",,,15.5ah,1 year,48v,lithium ion,12 hrs,60 km,00 w,25 kmph,110 kg
HABROK Alloy Electric Cycle 21 Speed with Front Suspension Dual disc Brake (27.5),,"23,999.",,,7.8ah,1 year,500 v,li-ion,4 hr,50 km,250w,,
"Electric Bike GM360+ | 26"" Tyre | 25 km/h Top Speed | 250W Motor | Disc Brakes | 10.4Ah Detachable NMC Battery | 3-Level Pedal Assist | Spring Front Suspension | Grey",,"37,999.",,,10.4ah,1 year,500 v,li-ion,,25 km,250w,25 km/h,28 kilograms
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow, 10.4AH)",,"35,580.",,,10.4ah,1 year,500 v,li-ion,12 hrs,40 km,6w,,80 kilograms
"Alter 26"" 003 PRO Model Electric Cycle with 7.8AH Removable Lithium ION Battery | 12 Magnets PAS with 5 Control Modes | 95% PRE- Assembled (Black & Golden)","59,999","37,170.",3.0,1,7.8ah,1 year,500 v,lithium ion,12 hrs,25-30 km,00 w,30 km/h,100 kilograms
SVITCH Velono Electric Bicycle for Man and Woman | Battery: 7.8 AH LI-ION | Motor: 36V 250W | Headlight: 280LM | Head Light | INBUILT Horn (Charcoal Grey),,"29,999.",5.0,2,7.8 ah,1 year,36v,li-ion,12 hrs,30 km,250w,,25 kilograms
MATELCO Urbano EA26 12.5AH Battery 26 inches Single Speed Lithium-ion (Li-ion) Electric Cycle,,"35,998.",,,12.5ah,1 year,500 v,lithium-ion,4 hrs,28 km,250 w,28 km/h,120 kg
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow, 10.4AH)",,"35,580.",,,10.4ah,1 year,500 v,li-ion,12 hrs,30-35 km,0w,,80 kilograms
"Alter 26"" 003PRO-I Model Electric Cycle with R/L Indicator | Removable LI-ION Battery| PAS with 5 Control Mode| 95% PRE Assembled with Charger (Yellow, 15.6AH)",,"39,220.",,,15.6ah,1 year,500 v,li-ion,12 hrs,40-45 km,3w,,80 kilograms
CULTSPORT by Cult Escalator 27.5T Grey with 250W BLDC Motor| 4 Hours Fast Charge| 7.8 Ah Li-ion Battery| Up to 35 Km| 27.5 Inches Wheels| Single Speed Electric Cycle | Ideal for 15+ Years,,"34,999.",,,7.8 ah,1 year,500 v,li-ion,4 hours,35 km,250w,15 km/h,23.2 kilograms
"HIPPO 2020 Electric Bike with Front Suspension & Dual DISC Brake, Detachable Battery, Tyre 26x2.35, for Mens Adults Ideal Height 5Ft- 7inch. Frame 18.5"" - Black- F.Orange","51,000","35,000.",5.0,1,735 ah,1 year,500 v,li-ion,12 hrs,36 kms,00 w,,120 kg
"VIR V3 Desert Raptor 27.5"" Electric Cycle: Lightweight Aluminum Frame, Detachable Battery, 50KM Range, Maxxis Tires, 250W hub Motor, 5-Level Display—Perfect ebike for Men, Women, and Kids",,"34,999.",5.0,2,14.5ah,12 year,500 v,li-ion,,50km,250w,,20kg
HORNBACK X1s V2 Electric Cycle 27.5 Inch | 75 km Pedal Assist | 13 Ah Battery | Single Speed | Front Suspension | LCD Display | Delivered 98% Assembled | Men & Women | Radioactive Green,,"40,269.",,,13 ah,2 year,500 v,li-ion,,75 km,250w,25 km/h,19 kilograms
Neelam SHOCKBUZZ NP 1.0 Unisex Electric Bicycle T-26 High Tensile Steel Frame| Disk Brake|INBUILT Battery 36V-250W |7.8AH|Susp.Fork|Battery Indication Display |Saddle with Memory Foam Color- L.Grey,"31,241","26,499.",,,7.8ah,2 year,36v,,12 hrs,25-30 km,250w,,25 kilograms
MATELCO Ultra EA 26x300 TYRE NEON 26 inches Single Speed Lithium-ion (Li-ion) Electric Cycle,,375.,,,,1 year,500 v,lithium-ion,4 hrs,28 km,6 w,28 km/h,25 kilograms
MATELCO Ultra EA 26x300 TYRE NEON 26 inches Single Speed Lithium-ion (Li-ion) Electric Cycle,,375.,,,,1 year,500 v,lithium-ion,4 hrs,28 km,6 w,28 km/h,25 kilograms
"EV GO Electric Bicycle Pedelec, Speed Upto 25 KM/HR Throttle and Classic Mode for Women and Men BLDC Electric Motor Mileage 35 KM per Charge Negligible Running Cost Make in India","34,500","30,000.",1.5,4,6.6 ah,1 year,500 v,lithium ion,12 hrs,25 km,00 w,25 km/h,
